Date,Open,High,Low,Close,Volume,pe_ratio,pb_ratio,dividend_yield
2018-09-10,11570.25,11573.0,11427.3,11438.1,295597988,27.81,3.68,1.17
2018-09-11,11476.85,11479.4,11274.0,11287.5,318093125,27.44,3.63,1.19
2018-09-12,11340.1,11380.75,11250.2,11369.9,276509748,27.64,3.66,1.18
2018-09-14,11443.5,11523.25,11430.55,11515.2,285218296,28.0,3.71,1.16
2018-09-17,11464.95,11464.95,11366.9,11377.75,207620518,27.66,3.66,1.18
2018-09-18,11381.55,11411.45,11268.95,11278.9,248298794,27.42,3.63,1.19
2018-09-19,11326.65,11332.05,11210.9,11234.35,258424384,27.31,3.61,1.19
2018-09-21,11271.3,11346.8,10866.45,11143.1,741153209,27.09,3.59,1.2
2018-09-24,11164.4,11170.15,10943.6,10967.4,398815949,26.66,3.53,1.22
2018-09-25,10969.95,11080.6,10882.85,11067.45,417548830,26.91,3.56,1.21
2018-09-26,11145.55,11145.55,10993.05,11053.8,351041146,26.87,3.5,1.22
2018-09-27,11079.8,11089.45,10953.35,10977.55,418210067,26.69,3.47,1.23
2018-09-28,11008.1,11034.1,10850.3,10930.45,492894147,26.44,3.47,1.23
2018-10-01,10930.9,11035.65,10821.55,11008.3,398987274,26.62,3.5,1.22
2018-10-03,10982.7,10989.05,10843.75,10858.25,398756507,26.26,3.45,1.24
2018-10-04,10754.7,10754.7,10547.25,10599.25,438202008,25.63,3.37,1.27
2018-10-05,10514.1,10540.65,10261.9,10316.45,625153832,24.95,3.28,1.3
2018-10-08,10310.15,10398.35,10198.4,10348.05,470279031,25.03,3.29,1.3
2018-10-09,10390.3,10397.6,10279.35,10301.05,443795275,24.91,3.27,1.3
2018-10-10,10331.85,10482.35,10318.25,10460.1,373844130,25.3,3.32,1.28
2018-10-11,10169.8,10335.95,10138.6,10234.65,498509417,24.75,3.25,1.31
2018-10-12,10331.55,10492.45,10322.15,10472.5,354056762,25.33,3.33,1.28
2018-10-15,10524.2,10526.3,10410.15,10512.5,267517728,25.42,3.34,1.28
2018-10-16,10550.15,10604.9,10525.3,10584.75,273444095,25.52,3.36,1.27
2018-10-17,10688.7,10710.15,10436.45,10453.05,293586908,25.19,3.32,1.29
2018-10-19,10339.7,10380.1,10249.6,10303.55,368552204,24.83,3.27,1.3
2018-10-22,10405.85,10408.55,10224.0,10245.25,306472776,24.65,3.26,1.31
